W,q,Q,cth,t,ds,stat,syst+,syst-,obs,unit,experiment
3.457161E+00,1.601257E+00,1.424324E+00,1.065487E+00,2.900000E-01,6.900000E-01,2.300000E-01,2.760000E-02,2.760000E-02,ds/dt,mb/GeV2,desy094
3.603341E+00,1.679512E+00,1.512177E+00,1.058511E+00,2.900000E-01,4.900000E-01,1.600000E-01,1.960000E-02,1.960000E-02,ds/dt,mb/GeV2,desy094
2.975847E+00,1.340007E+00,1.120182E+00,1.109200E+00,3.100000E-01,1.900000E-01,1.200000E-01,7.600000E-03,7.600000E-03,ds/dt,mb/GeV2,desy094
3.144482E+00,1.432257E+00,1.229943E+00,1.091855E+00,3.100000E-01,4.200000E-01,1.900000E-01,1.680000E-02,1.680000E-02,ds/dt,mb/GeV2,desy094
3.457161E+00,1.601257E+00,1.424324E+00,1.069871E+00,3.100000E-01,2.600000E-01,1.500000E-01,1.040000E-02,1.040000E-02,ds/dt,mb/GeV2,desy094
3.603341E+00,1.679512E+00,1.512177E+00,1.062449E+00,3.100000E-01,6.200000E-01,1.800000E-01,2.480000E-02,2.480000E-02,ds/dt,mb/GeV2,desy094
2.975847E+00,1.340007E+00,1.120182E+00,1.115862E+00,3.300000E-01,1.800000E-01,1.300000E-01,7.200000E-03,7.200000E-03,ds/dt,mb/GeV2,desy094
3.144482E+00,1.432257E+00,1.229943E+00,1.097531E+00,3.300000E-01,2.600000E-01,1.500000E-01,1.040000E-02,1.040000E-02,ds/dt,mb/GeV2,desy094
3.457161E+00,1.601257E+00,1.424324E+00,1.074256E+00,3.300000E-01,3.300000E-01,2.400000E-01,1.320000E-02,1.320000E-02,ds/dt,mb/GeV2,desy094
3.603341E+00,1.679512E+00,1.512177E+00,1.066386E+00,3.300000E-01,4.000000E-01,1.700000E-01,1.600000E-02,1.600000E-02,ds/dt,mb/GeV2,desy094
3.144482E+00,1.432257E+00,1.229943E+00,1.103208E+00,3.500000E-01,4.500000E-01,2.300000E-01,1.800000E-02,1.800000E-02,ds/dt,mb/GeV2,desy094
3.457161E+00,1.601257E+00,1.424324E+00,1.078641E+00,3.500000E-01,5.700000E-01,4.100000E-01,2.280000E-02,2.280000E-02,ds/dt,mb/GeV2,desy094
3.603341E+00,1.679512E+00,1.512177E+00,1.070323E+00,3.500000E-01,8.000000E-01,2.600000E-01,3.200000E-02,3.200000E-02,ds/dt,mb/GeV2,desy094
3.144482E+00,1.432257E+00,1.229943E+00,1.108885E+00,3.700000E-01,4.800000E-01,2.400000E-01,1.920000E-02,1.920000E-02,ds/dt,mb/GeV2,desy094
3.603341E+00,1.679512E+00,1.512177E+00,1.074261E+00,3.700000E-01,4.100000E-01,2.400000E-01,1.640000E-02,1.640000E-02,ds/dt,mb/GeV2,desy094
3.144482E+00,1.432257E+00,1.229943E+00,1.114561E+00,3.900000E-01,1.300000E-01,1.300000E-01,5.200000E-03,5.200000E-03,ds/dt,mb/GeV2,desy094
3.603341E+00,1.679512E+00,1.512177E+00,1.078198E+00,3.900000E-01,2.300000E-01,2.300000E-01,9.200000E-03,9.200000E-03,ds/dt,mb/GeV2,desy094
